date,amount,category,description
2024-03-01,1500.0,Rent,Monthly rent
2024-03-02,200.0,Food,Grocery shopping
2024-03-03,50.0,Entertainment,Movie night
2024-03-05,15.99,Subscriptions,Netflix
2024-03-07,500.0,Savings,Monthly savings
2024-03-08,100.0,Food,Restaurant dinner
2024-03-10,300.0,Debt Payments,Credit card payment
2024-03-12,75.0,Entertainment,Concert tickets
2024-03-15,150.0,Food,Weekly groceries
2024-03-15,200.0,Travel,Train tickets
2024-03-17,45.0,Entertainment,Bowling night
2024-03-18,12.99,Subscriptions,Spotify
2024-03-20,300.0,Savings,Extra savings
2024-03-22,80.0,Food,Restaurant lunch
2024-03-25,150.0,Food,Grocery shopping
2024-03-27,25.0,Entertainment,App purchases
2024-03-28,400.0,Debt Payments,Student loan payment
2024-03-30,100.0,Travel,Weekend trip
2024-03-04,60.0,Health,Pharmacy purchase
2024-03-06,1000.0,Rent,Rent adjustment
2024-03-09,30.0,Transportation,Taxi fare
2024-03-11,40.0,Shopping,New clothes
2024-03-13,125.0,Bills,Electricity bill
2024-03-16,55.0,Entertainment,Gaming subscription
2024-03-19,90.0,Health,Doctor visit
2024-03-21,35.0,Shopping,Gift purchase
2024-03-23,85.0,Food,Fast food
2024-03-24,220.0,Travel,Flight tickets
2024-03-26,95.0,Clothing,Shoes
2024-03-29,500.0,Savings,Emergency savings
